date;open;High;low;close;volume
03/01/2022;10.45600033;10.69600010;10.43999958;10.64799976;11340948
04/01/2022;10.69999981;10.97599983;10.69799995;10.89200020;51878743
05/01/2022;10.89999962;11.18999958;10.89200020;11.17199993;24976847
06/01/2022;11.02999973;11.24600029;10.89999962;11.14400005;11476599
07/01/2022;10.96000004;10.96800041;10.66199970;10.83199978;5794599
10/01/2022;10.85000038;10.91199970;10.72999954;10.77999973;4189280
11/01/2022;10.75599957;10.90200043;10.73999977;10.89200020;4247483
12/01/2022;10.98400021;11.17800045;10.97000027;11.08600044;8870360
13/01/2022;11.08600044;11.19999981;11.03199959;11.19999981;4061481
14/01/2022;11.18000031;11.26599979;11.08600044;11.24199963;4262272
17/01/2022;11.20400047;11.27600002;11.09200001;11.14400005;19565377
18/01/2022;11.19999981;11.28999996;11.07199955;11.12399960;56757167
19/01/2022;11.06599998;11.40999985;11.05000019;11.13199997;34217683
20/01/2022;11.07400036;11.08399963;10.72000027;10.81000042;23003012
21/01/2022;10.68999958;10.75399971;10.49199963;10.66399956;24737724
24/01/2022;10.60599995;10.73600006;10.28199959;10.42399979;10941715
25/01/2022;10.34399986;10.73400021;10.32400036;10.71599960;10805458
26/01/2022;10.78999996;11.13399982;10.76599979;11.04199982;8075117
27/01/2022;10.86800003;11.37399960;10.82999992;11.24600029;6940069
28/01/2022;11.24400043;11.35000038;11.11200047;11.18999958;6204112
31/01/2022;11.24400043;11.29399967;11.10599995;11.24199963;6169195
01/02/2022;11.28600025;11.42599964;11.11400032;11.38399982;9446366
02/02/2022;11.37600040;11.43200016;11.16199970;11.32600021;6374473
03/02/2022;11.32600021;11.42599964;11.20400047;11.32999992;5208055
04/02/2022;11.42000008;11.58600044;11.39200020;11.48799992;7607950
07/02/2022;11.54800034;11.59399986;11.37399960;11.54199982;6036712
08/02/2022;11.57199955;11.81400013;11.37399960;11.39599991;6494862
09/02/2022;11.61999989;11.64400005;11.39000034;11.58399963;8113736
10/02/2022;11.54800034;11.81599998;11.54399967;11.75000000;6151859
11/02/2022;11.62600040;11.88199997;11.57999992;11.86800003;6428439
14/02/2022;11.75399971;11.98600006;11.60599995;11.66800022;8362112
15/02/2022;11.59000015;11.75000000;11.43599987;11.62600040;8139495
16/02/2022;11.66399956;11.97599983;11.62600040;11.93400002;8155716
17/02/2022;11.84399986;12.00000000;11.67599964;11.86999989;8114343
18/02/2022;11.87800026;12.03600025;11.65600014;11.73400021;7709619
21/02/2022;11.73999977;11.81799984;11.52999973;11.61999989;5171870
22/02/2022;11.40999985;11.77000046;11.39999962;11.46800041;6924845
23/02/2022;11.47399998;11.63199997;11.35799980;11.36600018;6680005
24/02/2022;11.07999992;11.39799976;10.97999954;11.32999992;13349172
25/02/2022;11.21000004;11.73600006;11.14999962;11.59399986;9058029
28/02/2022;11.44999981;11.74600029;11.34200001;11.62600040;13472862
01/03/2022;11.69999981;11.99199963;11.65200043;11.86200047;9146984
02/03/2022;12.00000000;12.36600018;11.92000008;12.26799965;14960005
03/03/2022;12.30799961;12.67599964;11.96399975;12.00199986;19956964
04/03/2022;11.93000031;11.97999954;11.37199974;11.46599960;12203037
07/03/2022;11.44999981;12.09599972;11.29199982;11.92800045;17131496
08/03/2022;12.04800034;12.37199974;11.90999985;12.24199963;10553439
09/03/2022;12.24199963;12.46800041;11.78600025;11.85000038;15514946
10/03/2022;11.79599953;11.98799992;11.70800018;11.82400036;8048141
11/03/2022;11.69999981;11.97999954;11.54800034;11.63399982;10953044
14/03/2022;11.63599968;11.66399956;11.26799965;11.45400047;8889217
15/03/2022;11.35000038;11.46800041;11.15799999;11.46800041;7791864
16/03/2022;11.60000038;11.64200020;11.19799995;11.22799969;10864520
17/03/2022;11.33600044;11.54800034;11.27600002;11.49199963;7039284
18/03/2022;11.60000038;11.60000038;11.15999985;11.21800041;15595515
21/03/2022;11.25000000;11.64999962;11.24199963;11.63000011;9412952
22/03/2022;11.69999981;11.83199978;11.60599995;11.67800045;4852844
23/03/2022;11.86200047;12.14400005;11.81000042;12.06999969;7940775
24/03/2022;12.07400036;12.20400047;11.97999954;11.98999977;7738390
25/03/2022;11.99800014;12.19400024;11.78999996;12.16399956;4335122
28/03/2022;12.08199978;12.30599976;11.82999992;11.90400028;16686343
29/03/2022;12.00000000;12.17000008;11.62199974;11.77200031;6530273
30/03/2022;11.89999962;12.04599953;11.88000011;12.02200031;4696618
31/03/2022;11.92199993;12.06200027;11.83399963;11.92399979;5251275
01/04/2022;11.80000019;12.00500011;11.69999981;11.94499969;4753153
04/04/2022;12.00000000;12.06499958;11.86999989;11.88000011;6647661
05/04/2022;11.98999977;12.19999981;11.86499977;12.18999958;9687630
06/04/2022;12.30000019;12.42000008;12.16499996;12.30000019;6195618
07/04/2022;12.30000019;12.38000011;12.12500000;12.22000027;9457273
08/04/2022;12.35000038;12.82999992;12.33500004;12.82999992;12854634
11/04/2022;12.80000019;12.93000031;12.76000023;12.80500031;6115807
12/04/2022;12.68000031;13.27499962;12.65499973;13.23499966;10011614
13/04/2022;13.24499989;13.57999992;13.23999977;13.53499985;23609735
14/04/2022;13.64999962;13.81499958;13.53499985;13.77000046;6350740
19/04/2022;13.79500008;14.07499981;13.62500000;13.64500046;14694253
20/04/2022;13.68500042;13.81000042;13.58500004;13.63000011;11462853
21/04/2022;13.64999962;13.78999996;13.58500004;13.67500019;7636432
22/04/2022;13.52999973;13.53499985;12.72999954;13.19499969;8472986
25/04/2022;12.83500004;13.09000015;12.60499954;12.60499954;9003008
26/04/2022;12.77499962;12.96000004;12.50000000;12.66499996;5602585
27/04/2022;12.59500027;12.98499966;12.59500027;12.90999985;7245697
28/04/2022;12.97500038;13.64999962;12.83500004;13.63000011;8875801
29/04/2022;13.76500034;14.32999992;13.64999962;14.28499985;18852636
02/05/2022;14.07999992;14.23999977;13.79500008;14.10499954;7604085
