Date;Open
04/01/2021;222.529999
05/01/2021;217.259995
06/01/2021;212.169998
07/01/2021;214.039993
08/01/2021;218.679993
11/01/2021;218.470001
12/01/2021;216.5
13/01/2021;214.020004
14/01/2021;215.910004
15/01/2021;213.520004
19/01/2021;213.75
20/01/2021;217.699997
21/01/2021;224.699997
22/01/2021;227.080002
25/01/2021;229.119995
26/01/2021;231.860001
27/01/2021;238
28/01/2021;235.610001
29/01/2021;235.990005
01/02/2021;235.059998
02/02/2021;241.300003
03/02/2021;239.570007
04/02/2021;242.660004
05/02/2021;242.229996
08/02/2021;243.149994
09/02/2021;241.869995
10/02/2021;245
11/02/2021;244.779999
12/02/2021;243.929993
16/02/2021;245.029999
17/02/2021;241.320007
18/02/2021;241.800003
19/02/2021;243.75
22/02/2021;237.419998
23/02/2021;230.330002
24/02/2021;230.009995
25/02/2021;232.080002
26/02/2021;231.529999
01/03/2021;235.899994
02/03/2021;237.009995
03/03/2021;232.160004
04/03/2021;226.740005
05/03/2021;229.520004
08/03/2021;231.369995
09/03/2021;232.880005
10/03/2021;237
11/03/2021;234.960007
12/03/2021;234.009995
15/03/2021;234.960007
16/03/2021;236.279999
17/03/2021;236.149994
18/03/2021;232.559998
19/03/2021;231.020004
22/03/2021;230.270004
23/03/2021;237.490005
24/03/2021;237.850006
25/03/2021;235.300003
26/03/2021;231.550003
29/03/2021;236.589996
30/03/2021;233.529999
31/03/2021;232.910004
01/04/2021;238.470001
05/04/2021;242.759995
06/04/2021;247.610001
07/04/2021;247.809998
08/04/2021;252.770004
09/04/2021;252.869995
12/04/2021;254.710007
13/04/2021;257.26001
14/04/2021;257.480011
15/04/2021;257.929993
16/04/2021;259.470001
19/04/2021;260.190002
20/04/2021;257.820007
21/04/2021;258.940002
22/04/2021;260.209991
23/04/2021;257.880005
26/04/2021;261.660004
27/04/2021;261.579987
28/04/2021;256.079987
29/04/2021;255.460007
30/04/2021;249.740005
03/05/2021;253.399994
04/05/2021;250.970001
05/05/2021;249.059998
06/05/2021;246.449997
07/05/2021;252.149994
10/05/2021;250.869995
11/05/2021;244.550003
12/05/2021;242.169998
