Periode;Open
407;291
408;291.98999
409;289.73999
410;290.190002
411;288.899994
412;282.079987
413;276.440002
414;275.410004
415;277.329987
416;279.079987
417;265.850006
418;266.670013
419;265.390015
420;258.869995
421;261.700012
422;256.200012
423;254.699997
424;257.51001
425;260.5
426;265.779999
427;258.839996
428;253.529999
429;249.770004
430;244.259995
431;242.470001
